TIME;LC_INIT
740.0838;0.0004626069
740.1043;-0.00020376124
740.1247;-0.0063874414
740.1451;-0.044802856
740.1656;-0.076018766
740.186;-0.08209117
740.2064;-0.08177786
740.2269;-0.06811143
740.2473;-0.027196908
740.2677;-0.0040022586
740.2882;
740.3086;-0.0038002841
740.329;-0.0040217587
740.3494;-0.00434589
740.3699;-0.004889793
740.3903;-0.0048305676
740.4107;-0.0047412664
740.4312;-0.00486157
740.4516;-0.0043180706
740.472;-0.0044531263
740.4925;
740.5129;-0.0047792373
740.5333;-0.004240677
740.5538;-0.00414709
740.5742;-0.00452019
740.5946;-0.0038803339
740.6151;-0.0025260034
740.6355;-0.0030910822
740.6559;-0.00302261
740.6764;-0.002849559
740.6968;-0.002095821
740.7172;-0.0017802216
740.7377;-0.0016299778
740.7581;-0.0007021456
740.7785;-0.0011372584
740.799;-0.000950367
740.8194;-0.0003205608
740.8398;-0.00010099494
740.8603;8.521151e-06
740.8807;0.00066660094
740.9011;0.0005564249
740.9216;0.0011627602
740.942;0.0009286186
740.9624;0.0008607076
740.9829;0.0005343203
741.0033;0.001320768
741.0237;0.00072703144
741.0442;0.0010150707
741.0646;0.00079568225
741.085;0.0006576166
741.1055;0.00078923505
741.1259;0.00044262386
741.1463;3.484524e-05
741.1668;-3.64765e-05
741.1872;-0.0003831895
741.2076;-0.0013150809
741.2281;-0.00057563983
741.2485;-0.0014003505
741.2689;-0.001742534
741.2894;-0.001797302
741.3098;-0.0021201407
741.3302;-0.0023292038
741.3507;-0.0030731822
741.3711;-0.002826725
741.3915;-0.003422286
741.412;-0.003710098
741.4324;-0.0040737963
741.4528;-0.0040764743
741.4733;-0.004570148
741.4937;-0.0050970907
741.5141;-0.005255855
741.5346;-0.005342078
741.555;-0.005667904
741.5754;-0.0060627833
741.5959;-0.006213757
741.6163;-0.0065048677
741.6367;-0.0063910377
741.6572;-0.0064895656
741.6776;-0.0066845547
741.698;-0.0071145114
741.7185;-0.0071147215
741.7389;-0.0077565503
741.7593;-0.012887494
741.7798;-0.01388824
741.8002;-0.014111634
741.8206;-0.010013299
741.8411;-0.00640547
741.8615;-0.0065571405
741.8819;-0.006347625
741.9024;-0.005718855
741.9228;-0.0056319106
741.9432;-0.0052221683
741.9637;-0.0039456915
741.9841;-0.003904788
